,Unnamed: 0,building_address,location,latitude,longitude
2955,8939,Oxford Have 235 København S,"235, Oxford Have, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.64215600000001,12.609748
2956,8942,Folkets Alle 26 Frederiksberg,"26, Folkets Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.677512,12.512048
2957,8944,Øresund Parkvej 10 København S,"10, Øresund Parkvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.663588,12.628263
2958,8950,Troels-Lunds Vej 22 Frederiksberg,"Troels-Lunds Vej, Frederiksberg Kommune, Region Hovedstaden, 2500, Danmark",55.6751917,12.499668699999999
2959,8951,Vagtelvej 72 Frederiksberg,"72, Vagtelvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.693167,12.523515
2960,8952,Jansvej 20 København S,"20, Jansvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.645123999999996,12.617331
2961,8954,Holger Danskes Vej 26 Frederiksberg,"26, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.686811,12.537483
2962,8958,Øresundsvej 54 København S,"54, Øresundsvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.660509,12.614550999999999
2963,8960,Oxford Have 253 København S,"253, Oxford Have, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.64261,12.609584
2964,8961,Købmagergade 56 København K,"56, Købmagergade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1150, Danmark",55.681605000000005,12.575095
2965,8970,Nørrebrogade 3A København N,"Irma City, 3A, Nørrebrogade, Kødbyen, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 1371, Danmark",55.687292799999994,12.561867800000002
2966,8973,Øresund Parkvej 12 København S,"12, Øresund Parkvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.663548,12.628001
2967,8975,Livjægergade 42 København Ø,"42, Livjægergade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.700030000000005,12.585794
2968,8977,Hoffmeyersvej 10 Frederiksberg,"Hoffmeyersvej, Frederiksberg Kommune, Region Hovedstaden, 2500, Danmark",55.6753502,12.503491
2969,8981,Lersø Parkallé 53 København Ø,"53, Lersø Parkallé, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.706512,12.556255
2970,8983,Nikolaj Plads 34 København K,"34, Nikolaj Plads, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1067, Danmark",55.678212,12.58132
2971,8984,Øresund Parkvej 9 København S,"9, Øresund Parkvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.663762,12.629394
2972,8985,Lillegrund 19 København S,"19, Lillegrund, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.658828,12.611989
2973,8986,Dagmarsgade 30 København N,"30, Dagmarsgade, Dagmargade Mimersgade Jagtvej Bragesgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.698356999999994,12.546464
2974,8991,Oscar Pettifords Vej 11 København SV,,,
2975,8992,Burmeistersgade 7 København K,"7, Burmeistersgade, Margretheholm, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1429, Danmark",55.675375,12.598191
2976,8996,Grækenlandsvej 116 København S,"116, Grækenlandsvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.645466000000006,12.61992
2977,8998,Ingemannsvej 8 Frederiksberg C,"8, Ingemannsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 1964, Danmark",55.683668000000004,12.547303
2978,9003,Rugagervej 12 København S,"12, Rugagervej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.643694999999994,12.593219
2979,9006,Japanvej 26 København S,"26, Japanvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.651766,12.630272
2980,9007,Solsortvej 3 Frederiksberg,"3, Solsortvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.689609999999995,12.521714999999999
2981,9009,Slusevej 71 København S,"71, Slusevej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.629383999999995,12.584414
2982,9014,Munkensvej 7 Frederiksberg,"7, Munkensvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.693895,12.534252
2983,9015,Lyngbyvej 53 København Ø,"53, Lyngbyvej, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.710462,12.560493
2984,9018,Viktoriagade 8D København V,"8D, Viktoriagade, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1655, Danmark",55.671988,12.557417
2985,9019,Boltonvej 18 København S,"18, Boltonvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.643788,12.601962
2986,9020,Nyhavn 53 København K,"53, Nyhavn, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1051, Danmark",55.679807999999994,12.592055
2987,9021,Emdrupvej 147 København NV,,,
2988,9023,Jens Juels Gade 3 København Ø,"3, Jens Juels Gade, Kartoffelrækkerne, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.69060699999999,12.574997999999999
2989,9026,Engblommevej 30B København NV,,,
2990,9028,Hf. Elmebo 49 København S,,,
2991,9029,Kastrupvej 162 København S,"162, Kastrupvej, Kastrup, Tårnby Kommune, Region Hovedstaden, 2300, Danmark",55.645408999999994,12.626337
2992,9030,Kinavej 32 København S,"32, Kinavej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.651412,12.631464999999999
2993,9031,Greisvej 10 København S,"10, Greisvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.644151,12.617830999999999
2994,9039,Mågevej 44 København NV,,,
2995,9044,Tom Kristensens Vej 26 København S,"26, Tom Kristensens Vej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.660985,12.587524
2996,9046,Åboulevard 51 Frederiksberg C,,,
2997,9047,Tom Kristensens Vej 30 København S,"30, Tom Kristensens Vej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.661106000000004,12.587186
2998,9050,Tom Kristensens Vej 28 København S,"28, Tom Kristensens Vej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.661066000000005,12.587457
2999,9052,Nordre Fasanvej 158 Frederiksberg,"158, Nordre Fasanvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.693780000000004,12.533335000000001
3000,5805,Rantzausgade 11A København N,"11A, Rantzausgade, Sorte Hest, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.685786,12.551295
3001,5806,Hauser Plads 26 København K,"26, Hauser Plads, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1127, Danmark",55.68311,12.575676
3002,5807,Classensgade 19B København Ø,"19B, Classensgade, Marmormolen, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.69740899999999,12.582825999999999
3003,5808,Delosvej 7 København S,"7, Delosvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.651681999999994,12.621478999999999
3004,5812,Lykkesholms Allé 8 Frederiksberg C,"8, Lykkesholms Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 1902, Danmark",55.676469,12.547833
3005,5813,Dalmosevej 9 København NV,,,
3006,5816,Funkiavej 16 København S,"16, Funkiavej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.64825,12.610901
3007,5819,Ryvangs Allé 20 København Ø,"20, Ryvangs Allé, Indre Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.720668999999994,12.572296000000001
3008,5821,Ågade 98 København N,"98, Ågade, Sorte Hest, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.687052,12.543523
3009,5825,Egebæksvej 1C København Ø,"1C, Egebæksvej, Emdrup, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.71970400000001,12.551314
3010,5826,Kronprinsessegade 10 København K,"10, Kronprinsessegade, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1306, Danmark",55.683285999999995,12.581438
3011,5827,Koreavej 26 København S,"26, Koreavej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.649581000000005,12.632163
3012,5828,Godthåbsvænget 11 Frederiksberg,"11, Godthåbsvænget, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.690637,12.519648
3013,5831,Mosesvinget 12 København NV,,,
